946 10000
OR 2 1
FLIP 1 10
AND 2 1
FLIP 2 295
OR 1 2
SET 2 868
OR 1 2
AND 2 1
SET 1 302
XOR 2 1
FLIP 1 502
AND 1 2
OR 2 1
FLIP 2 202
AND 1 2
FLIP 1 819
SET 2 785
FLIP 1 928
SET 1 731
FLIP 1 68
SET 1 310
XOR 1 2
AND 2 1
SET 1 929
XOR 2 1
SET 2 248
OR 2 1
AND 2 1
FLIP 2 552
FLIP 1 930
AND 1 2
SET 1 148
FLIP 2 78
OR 1 2
SET 2 230
SET 1 913
AND 1 2
OR 1 2
XOR 2 1
SET 2 524
XOR 1 2
AND 2 1
SET 2 792
AND 1 2
FLIP 2 231
FLIP 2 390
FLIP 1 355
OR 1 2
SET 1 936
XOR 2 1
SET 1 904
SET 1 476
FLIP 2 945
FLIP 1 359
AND 2 1
SET 1 723
OR 2 1
SET 2 580
FLIP 2 791
XOR 1 2
FLIP 2 40
SET 1 729
AND 1 2
OR 1 2
AND 1 2
OR 1 2
FLIP 1 395
OR 1 2
AND 1 2
SET 1 182
FLIP 1 469
FLIP 2 578
FLIP 1 482
XOR 1 2
XOR 1 2
AND 1 2
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 237
SET 1 365
AND 1 2
AND 1 2
SET 1 378
XOR 1 2
FLIP 1 904
AND 1 2
AND 1 2
FLIP 1 7
FLIP 2 613
XOR 1 2
SET 2 196
FLIP 2 422
SET 2 627
FLIP 1 622
OR 2 1
FLIP 2 578
SET 2 579
SET 1 33
XOR 1 2
FLIP 2 222
OR 2 1
XOR 2 1
AND 2 1
OR 2 1
OR 1 2
AND 1 2
SET 1 117
AND 2 1
OR 2 1
AND 1 2
OR 1 2
SET 2 260
SET 1 275
OR 2 1
FLIP 1 503
AND 1 2
AND 1 2
XOR 2 1
XOR 2 1
XOR 1 2
FLIP 2 563
OR 2 1
SET 1 215
XOR 2 1
AND 1 2
AND 1 2
SET 2 71
SET 2 552
XOR 1 2
SET 1 532
XOR 2 1
SET 1 95
XOR 1 2
FLIP 2 368
XOR 2 1
SET 1 420
OR 1 2
OR 2 1
FLIP 1 572
OR 1 2
OR 2 1
FLIP 1 109
XOR 1 2
FLIP 2 512
XOR 1 2
OR 1 2
SET 1 786
XOR 1 2
SET 2 248
FLIP 1 243
XOR 2 1
OR 1 2
FLIP 2 672
SET 2 383
OR 1 2
OR 1 2
AND 2 1
AND 2 1
OR 2 1
FLIP 2 95
OR 1 2
FLIP 1 187
AND 1 2
OR 1 2
OR 1 2
OR 1 2
SET 1 541
SET 1 100
AND 1 2
XOR 1 2
AND 1 2
SET 2 214
OR 1 2
XOR 2 1
XOR 2 1
XOR 1 2
AND 2 1
SET 1 693
OR 2 1
FLIP 1 457
FLIP 1 174
OR 2 1
SET 1 56
SET 2 318
SET 1 569
FLIP 2 453
XOR 1 2
OR 2 1
SET 1 252
SET 1 478
SET 1 371
OR 1 2
AND 2 1
OR 1 2
XOR 2 1
XOR 2 1
FLIP 2 618
AND 1 2
AND 1 2
AND 2 1
AND 2 1
FLIP 2 361
FLIP 1 449
FLIP 2 599
AND 1 2
AND 1 2
OR 2 1
FLIP 1 470
FLIP 2 584
XOR 2 1
FLIP 1 239
OR 1 2
FLIP 1 103
XOR 2 1
OR 2 1
XOR 1 2
SET 2 818
FLIP 2 217
FLIP 2 183
OR 2 1
FLIP 1 217
OR 1 2
XOR 2 1
FLIP 1 480
XOR 2 1
AND 2 1
AND 2 1
OR 2 1
AND 1 2
SET 2 52
SET 1 279
SET 1 140
OR 1 2
OR 1 2
SET 1 92
AND 1 2
AND 1 2
XOR 2 1
AND 2 1
XOR 1 2
FLIP 1 874
OR 2 1
XOR 1 2
OR 1 2
SET 2 789
FLIP 1 143
OR 1 2
XOR 1 2
AND 2 1
SET 1 679
XOR 2 1
XOR 1 2
SET 2 552
AND 1 2
OR 1 2
OR 1 2
OR 1 2
OR 2 1
AND 2 1
FLIP 2 138
XOR 1 2
OR 1 2
SET 2 496
XOR 1 2
OR 1 2
FLIP 1 886
SET 2 741
SET 1 92
XOR 2 1
AND 2 1
SET 1 482
FLIP 2 583
XOR 2 1
SET 2 555
OR 1 2
FLIP 2 699
XOR 1 2
SET 1 763
XOR 1 2
OR 1 2
AND 1 2
XOR 2 1
FLIP 1 606
SET 1 597
SET 2 147
AND 1 2
OR 1 2
SET 1 134
OR 2 1
OR 1 2
FLIP 2 481
XOR 2 1
OR 2 1
OR 2 1
AND 2 1
AND 1 2
XOR 1 2
AND 1 2
SET 1 22
OR 1 2
XOR 1 2
AND 1 2
FLIP 1 396
AND 2 1
FLIP 2 127
SET 1 789
SET 2 378
SET 1 473
FLIP 2 243
OR 1 2
XOR 1 2
OR 1 2
SET 1 394
AND 1 2
AND 1 2
AND 1 2
OR 2 1
OR 2 1
XOR 2 1
AND 1 2
SET 1 202
OR 2 1
AND 2 1
XOR 1 2
SET 1 63
AND 1 2
OR 1 2
OR 2 1
SET 1 202
SET 1 563
OR 1 2
AND 2 1
AND 2 1
FLIP 2 779
FLIP 1 666
AND 2 1
AND 1 2
OR 2 1
OR 1 2
FLIP 2 617
XOR 1 2
XOR 1 2
OR 1 2
OR 2 1
OR 1 2
OR 1 2
AND 1 2
AND 1 2
FLIP 1 467
AND 1 2
AND 2 1
XOR 1 2
XOR 1 2
XOR 2 1
XOR 1 2
FLIP 2 617
AND 1 2
FLIP 1 553
OR 1 2
FLIP 1 601
SET 2 703
SET 1 364
XOR 1 2
AND 1 2
XOR 1 2
AND 1 2
FLIP 1 488
OR 2 1
AND 1 2
SET 2 529
OR 1 2
AND 1 2
FLIP 1 301
OR 2 1
AND 1 2
XOR 2 1
FLIP 1 768
AND 1 2
FLIP 1 311
FLIP 1 532
AND 1 2
AND 1 2
XOR 2 1
OR 1 2
AND 2 1
OR 2 1
AND 2 1
AND 1 2
FLIP 1 479
FLIP 2 599
SET 1 352
AND 1 2
OR 2 1
AND 1 2
XOR 2 1
SET 1 350
AND 2 1
FLIP 1 769
XOR 1 2
OR 1 2
OR 1 2
AND 1 2
SET 1 387
SET 1 662
XOR 1 2
SET 2 746
OR 1 2
FLIP 2 931
AND 1 2
FLIP 2 304
AND 2 1
AND 2 1
AND 1 2
OR 2 1
SET 2 318
OR 1 2
SET 1 29
AND 2 1
OR 1 2
SET 1 483
XOR 1 2
AND 1 2
XOR 2 1
OR 2 1
FLIP 2 353
SET 1 514
XOR 2 1
OR 1 2
AND 1 2
FLIP 1 238
XOR 2 1
SET 1 516
FLIP 2 324
AND 1 2
OR 1 2
AND 1 2
AND 2 1
OR 1 2
FLIP 2 746
AND 1 2
AND 1 2
OR 2 1
AND 2 1
FLIP 1 91
SET 2 744
FLIP 1 867
OR 1 2
OR 1 2
SET 1 272
AND 1 2
AND 1 2
AND 2 1
OR 1 2
AND 2 1
FLIP 2 528
AND 1 2
XOR 1 2
XOR 1 2
OR 2 1
XOR 1 2
OR 1 2
SET 1 677
OR 1 2
OR 2 1
XOR 1 2
AND 2 1
SET 2 832
AND 2 1
SET 1 617
AND 1 2
XOR 2 1
FLIP 2 879
AND 1 2
FLIP 2 913
AND 1 2
SET 2 396
OR 1 2
OR 2 1
AND 1 2
SET 2 492
OR 2 1
AND 2 1
SET 2 747
OR 1 2
FLIP 2 40
XOR 1 2
FLIP 2 236
XOR 1 2
OR 2 1
OR 1 2
OR 2 1
XOR 1 2
AND 2 1
SET 2 927
OR 1 2
AND 2 1
SET 1 831
OR 1 2
SET 2 257
OR 1 2
XOR 2 1
AND 1 2
AND 1 2
OR 2 1
XOR 2 1
OR 2 1
FLIP 2 764
FLIP 2 489
AND 2 1
OR 2 1
SET 1 758
SET 1 488
FLIP 2 807
FLIP 2 607
OR 1 2
XOR 1 2
AND 1 2
XOR 1 2
SET 2 218
SET 2 601
OR 1 2
AND 2 1
SET 2 910
XOR 2 1
OR 2 1
FLIP 2 938
OR 1 2
XOR 2 1
AND 1 2
SET 2 223
AND 2 1
FLIP 2 878
OR 2 1
XOR 2 1
OR 2 1
AND 1 2
FLIP 1 595
XOR 1 2
XOR 2 1
SET 2 452
FLIP 1 357
OR 2 1
SET 2 781
XOR 2 1
SET 1 131
FLIP 1 481
OR 1 2
SET 2 19
SET 1 650
XOR 1 2
OR 2 1
XOR 1 2
FLIP 1 712
OR 1 2
FLIP 2 101
OR 1 2
SET 2 233
XOR 2 1
SET 2 749
SET 1 453
FLIP 2 909
FLIP 1 607
AND 2 1
XOR 2 1
AND 1 2
OR 2 1
SET 2 944
AND 1 2
FLIP 2 771
OR 1 2
XOR 1 2
FLIP 2 382
AND 2 1
SET 2 113
AND 1 2
AND 1 2
OR 1 2
XOR 2 1
XOR 1 2
SET 2 225
AND 2 1
SET 1 464
XOR 2 1
SET 1 249
SET 2 229
OR 1 2
SET 2 942
FLIP 2 767
XOR 2 1
AND 1 2
FLIP 1 907
FLIP 2 237
XOR 2 1
SET 2 184
SET 2 411
OR 2 1
SET 1 823
SET 1 582
FLIP 1 776
OR 2 1
AND 1 2
AND 2 1
SET 2 349
OR 2 1
SET 1 164
XOR 2 1
SET 2 716
SET 1 520
FLIP 1 421
AND 2 1
FLIP 1 652
SET 2 864
FLIP 2 484
XOR 1 2
XOR 1 2
AND 2 1
OR 2 1
AND 1 2
XOR 2 1
OR 2 1
AND 2 1
FLIP 2 179
OR 2 1
AND 2 1
XOR 1 2
XOR 1 2
FLIP 1 806
SET 2 89
OR 1 2
SET 2 447
XOR 2 1
OR 2 1
SET 2 372
SET 2 114
SET 1 31
AND 1 2
XOR 2 1
SET 1 9
SET 1 285
AND 1 2
SET 1 46
SET 2 71
XOR 1 2
AND 1 2
XOR 2 1
XOR 1 2
OR 1 2
SET 2 91
XOR 2 1
SET 1 875
FLIP 1 140
FLIP 1 356
OR 2 1
XOR 2 1
OR 1 2
FLIP 2 332
OR 2 1
AND 2 1
AND 2 1
FLIP 2 234
SET 2 680
XOR 2 1
FLIP 1 153
OR 2 1
XOR 2 1
OR 1 2
OR 1 2
XOR 1 2
SET 2 668
AND 2 1
FLIP 1 171
SET 1 308
SET 2 586
OR 2 1
XOR 1 2
FLIP 1 758
XOR 1 2
FLIP 2 884
SET 2 37
FLIP 1 203
XOR 1 2
SET 1 414
AND 1 2
SET 1 926
XOR 2 1
FLIP 2 935
XOR 2 1
FLIP 2 47
OR 1 2
FLIP 2 588
AND 2 1
AND 2 1
FLIP 2 424
SET 2 189
SET 1 602
FLIP 1 565
SET 2 638
SET 2 262
OR 1 2
SET 1 827
FLIP 2 641
AND 2 1
AND 2 1
XOR 1 2
OR 1 2
AND 1 2
FLIP 1 574
FLIP 2 348
XOR 1 2
FLIP 2 16
OR 2 1
SET 2 131
AND 1 2
OR 1 2
AND 2 1
AND 1 2
OR 2 1
FLIP 1 129
OR 1 2
SET 2 573
XOR 1 2
XOR 1 2
AND 2 1
AND 1 2
XOR 1 2
AND 1 2
SET 2 214
XOR 2 1
FLIP 2 335
AND 2 1
SET 1 427
OR 2 1
OR 2 1
FLIP 2 103
OR 1 2
AND 1 2
OR 2 1
OR 2 1
FLIP 2 279
FLIP 2 177
OR 2 1
OR 2 1
SET 2 578
OR 1 2
XOR 2 1
OR 1 2
XOR 2 1
AND 1 2
XOR 2 1
SET 1 419
AND 1 2
FLIP 2 461
FLIP 2 661
SET 1 442
OR 2 1
SET 2 166
FLIP 2 662
AND 1 2
OR 2 1
FLIP 2 853
OR 2 1
SET 1 225
XOR 1 2
XOR 2 1
SET 2 360
AND 2 1
XOR 1 2
XOR 1 2
FLIP 2 387
SET 1 129
FLIP 2 417
FLIP 1 437
FLIP 2 183
FLIP 2 549
XOR 2 1
XOR 2 1
OR 2 1
AND 2 1
AND 2 1
OR 1 2
FLIP 1 586
AND 2 1
AND 2 1
OR 1 2
XOR 1 2
AND 1 2
FLIP 1 884
AND 1 2
XOR 2 1
SET 1 118
FLIP 1 25
SET 1 735
OR 1 2
AND 1 2
AND 2 1
OR 2 1
SET 1 16
FLIP 2 23
OR 2 1
FLIP 1 300
XOR 1 2
FLIP 2 603
OR 2 1
SET 1 68
XOR 1 2
AND 2 1
FLIP 1 523
XOR 2 1
XOR 2 1
FLIP 1 117
AND 1 2
FLIP 2 582
OR 1 2
FLIP 1 258
OR 1 2
SET 2 409
SET 2 615
XOR 1 2
XOR 1 2
AND 2 1
AND 1 2
FLIP 2 38
SET 1 589
XOR 1 2
AND 1 2
FLIP 1 937
XOR 2 1
AND 1 2
OR 1 2
AND 1 2
AND 1 2
XOR 1 2
FLIP 1 314
OR 2 1
SET 2 837
XOR 2 1
OR 2 1
AND 2 1
SET 1 722
FLIP 1 421
AND 1 2
FLIP 2 30
SET 1 844
FLIP 1 287
OR 1 2
OR 1 2
SET 2 862
FLIP 2 274
XOR 2 1
XOR 1 2
FLIP 1 817
FLIP 2 322
XOR 2 1
OR 2 1
AND 2 1
FLIP 1 828
AND 1 2
AND 2 1
AND 1 2
OR 1 2
AND 2 1
XOR 1 2
OR 2 1
XOR 1 2
AND 1 2
FLIP 2 366
FLIP 1 196
AND 2 1
XOR 2 1
XOR 2 1
AND 1 2
SET 2 871
AND 1 2
SET 1 211
OR 1 2
SET 1 930
AND 2 1
SET 1 463
XOR 2 1
FLIP 2 43
AND 1 2
FLIP 2 23
XOR 2 1
SET 1 570
AND 1 2
OR 2 1
FLIP 2 66
XOR 2 1
AND 2 1
SET 1 231
SET 2 861
SET 1 54
SET 2 336
AND 2 1
AND 1 2
FLIP 2 165
FLIP 1 1
OR 1 2
FLIP 1 552
OR 2 1
OR 1 2
SET 2 600
OR 1 2
FLIP 2 319
SET 1 836
OR 1 2
OR 2 1
FLIP 2 50
FLIP 1 705
XOR 2 1
SET 2 670
AND 2 1
FLIP 2 397
SET 2 426
XOR 1 2
OR 1 2
OR 1 2
OR 2 1
OR 2 1
SET 1 491
AND 1 2
XOR 2 1
OR 2 1
AND 2 1
XOR 2 1
SET 1 44
FLIP 2 560
XOR 1 2
OR 1 2
AND 1 2
AND 2 1
AND 1 2
XOR 2 1
SET 1 650
FLIP 1 271
XOR 1 2
AND 1 2
SET 1 368
XOR 2 1
XOR 2 1
XOR 2 1
XOR 2 1
OR 2 1
SET 2 84
OR 2 1
XOR 2 1
FLIP 2 939
OR 2 1
FLIP 1 829
XOR 1 2
SET 1 486
SET 2 4
XOR 2 1
SET 1 508
FLIP 1 838
AND 2 1
XOR 1 2
AND 2 1
SET 1 82
AND 1 2
SET 1 493
XOR 1 2
XOR 2 1
XOR 1 2
SET 1 435
SET 2 719
SET 2 563
FLIP 2 418
XOR 1 2
OR 1 2
OR 1 2
FLIP 2 832
AND 2 1
XOR 1 2
SET 1 373
SET 2 55
AND 1 2
SET 1 149
XOR 2 1
SET 1 891
AND 2 1
AND 1 2
OR 1 2
SET 1 277
OR 1 2
SET 2 534
FLIP 1 480
XOR 1 2
SET 1 505
SET 2 40
SET 1 776
SET 1 117
OR 2 1
OR 2 1
SET 1 61
SET 1 384
FLIP 2 135
SET 2 931
OR 1 2
SET 2 889
SET 2 837
XOR 2 1
OR 1 2
SET 1 413
OR 1 2
OR 2 1
OR 1 2
SET 2 463
AND 2 1
AND 1 2
OR 2 1
SET 2 409
FLIP 1 869
FLIP 2 103
FLIP 2 88
XOR 1 2
FLIP 2 491
SET 2 885
FLIP 1 722
AND 2 1
FLIP 1 607
SET 1 136
XOR 1 2
FLIP 2 696
XOR 1 2
FLIP 2 880
XOR 2 1
FLIP 2 928
XOR 2 1
OR 1 2
OR 2 1
AND 2 1
XOR 1 2
OR 1 2
OR 2 1
XOR 2 1
FLIP 2 158
SET 1 509
FLIP 1 938
SET 1 931
XOR 1 2
FLIP 2 129
OR 1 2
SET 2 406
FLIP 2 348
FLIP 2 414
SET 2 57
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
AND 2 1
AND 1 2
OR 1 2
OR 1 2
XOR 1 2
OR 2 1
SET 1 636
FLIP 2 362
AND 1 2
XOR 2 1
SET 2 841
OR 1 2
SET 1 205
FLIP 1 216
XOR 1 2
FLIP 2 687
AND 2 1
SET 1 34
OR 1 2
XOR 2 1
SET 1 83
OR 2 1
FLIP 2 104
FLIP 2 937
SET 2 893
SET 2 35
FLIP 2 490
AND 2 1
FLIP 2 258
AND 1 2
XOR 2 1
AND 2 1
FLIP 1 85
AND 1 2
FLIP 2 786
FLIP 1 588
AND 2 1
FLIP 2 615
XOR 1 2
XOR 2 1
AND 2 1
FLIP 2 86
OR 1 2
SET 2 530
FLIP 1 623
OR 1 2
FLIP 2 149
AND 2 1
AND 2 1
AND 1 2
XOR 2 1
AND 2 1
OR 1 2
AND 2 1
OR 2 1
SET 2 793
FLIP 2 537
XOR 2 1
SET 2 799
OR 1 2
OR 1 2
AND 2 1
XOR 1 2
OR 2 1
XOR 1 2
SET 2 846
FLIP 1 486
XOR 2 1
XOR 2 1
OR 1 2
FLIP 2 345
AND 2 1
XOR 2 1
OR 2 1
OR 1 2
SET 1 623
OR 2 1
XOR 1 2
AND 1 2
FLIP 2 627
OR 1 2
OR 1 2
AND 1 2
SET 1 344
SET 2 619
AND 1 2
OR 1 2
AND 2 1
SET 2 248
XOR 2 1
OR 1 2
OR 2 1
FLIP 1 424
AND 1 2
XOR 1 2
AND 2 1
OR 1 2
FLIP 1 189
FLIP 2 612
AND 1 2
XOR 2 1
OR 1 2
XOR 2 1
AND 2 1
AND 1 2
SET 2 352
OR 2 1
SET 2 619
AND 2 1
AND 1 2
XOR 1 2
SET 2 324
XOR 2 1
OR 1 2
AND 2 1
FLIP 2 563
FLIP 2 675
OR 2 1
SET 1 842
SET 1 882
AND 2 1
FLIP 2 161
OR 2 1
FLIP 1 555
AND 1 2
OR 2 1
XOR 2 1
XOR 1 2
AND 1 2
SET 1 732
OR 1 2
XOR 1 2
FLIP 2 534
FLIP 2 207
OR 1 2
SET 2 24
AND 1 2
AND 1 2
OR 2 1
AND 2 1
FLIP 2 179
SET 1 211
OR 1 2
OR 1 2
OR 2 1
XOR 1 2
AND 2 1
AND 2 1
FLIP 1 623
XOR 2 1
SET 2 377
SET 2 501
FLIP 1 706
AND 2 1
XOR 2 1
OR 2 1
FLIP 2 487
OR 1 2
XOR 1 2
OR 1 2
AND 2 1
AND 2 1
AND 1 2
AND 2 1
FLIP 2 813
SET 1 119
SET 1 247
FLIP 2 308
SET 2 128
SET 1 651
XOR 1 2
XOR 2 1
AND 1 2
FLIP 2 372
XOR 2 1
XOR 1 2
AND 1 2
XOR 1 2
FLIP 2 738
SET 2 675
FLIP 2 172
AND 2 1
OR 1 2
XOR 1 2
SET 1 123
OR 2 1
SET 1 565
AND 2 1
OR 1 2
SET 1 526
FLIP 1 5
FLIP 1 264
XOR 2 1
OR 1 2
AND 1 2
SET 1 619
FLIP 1 252
FLIP 2 422
XOR 2 1
XOR 2 1
SET 2 518
XOR 2 1
AND 2 1
OR 2 1
OR 2 1
SET 1 394
SET 1 384
AND 1 2
FLIP 1 893
FLIP 2 319
XOR 1 2
XOR 2 1
OR 1 2
OR 2 1
AND 1 2
SET 2 693
XOR 1 2
XOR 2 1
SET 1 724
AND 2 1
SET 2 727
OR 2 1
AND 1 2
SET 1 795
XOR 2 1
SET 2 616
XOR 2 1
XOR 1 2
OR 2 1
XOR 1 2
AND 2 1
FLIP 1 299
OR 2 1
SET 2 678
OR 2 1
OR 1 2
FLIP 2 819
AND 1 2
FLIP 2 531
XOR 2 1
AND 2 1
AND 1 2
OR 2 1
SET 1 454
AND 1 2
SET 1 685
AND 1 2
XOR 1 2
XOR 2 1
OR 1 2
FLIP 1 131
XOR 2 1
SET 2 753
FLIP 1 348
SET 2 300
SET 1 186
OR 2 1
XOR 2 1
AND 2 1
FLIP 1 434
OR 1 2
SET 1 413
AND 2 1
OR 1 2
XOR 1 2
AND 2 1
FLIP 2 493
OR 1 2
OR 2 1
OR 2 1
OR 1 2
XOR 2 1
AND 1 2
AND 2 1
XOR 1 2
OR 1 2
XOR 2 1
AND 2 1
FLIP 1 616
FLIP 2 910
AND 2 1
OR 1 2
FLIP 1 387
AND 2 1
XOR 1 2
XOR 2 1
FLIP 1 592
SET 1 500
FLIP 2 816
FLIP 1 833
FLIP 1 139
SET 1 540
SET 1 911
FLIP 2 92
SET 2 941
SET 1 632
SET 1 917
AND 1 2
AND 1 2
FLIP 1 12
AND 2 1
XOR 1 2
SET 2 417
OR 2 1
FLIP 2 213
SET 2 528
AND 1 2
OR 1 2
SET 2 201
FLIP 2 284
OR 2 1
AND 2 1
AND 2 1
FLIP 1 837
XOR 1 2
OR 2 1
FLIP 2 554
SET 2 18
FLIP 2 488
FLIP 1 455
OR 1 2
AND 1 2
AND 2 1
AND 2 1
FLIP 1 333
SET 2 739
XOR 2 1
SET 2 616
XOR 1 2
XOR 2 1
SET 1 170
AND 2 1
AND 2 1
AND 2 1
AND 2 1
SET 2 371
XOR 1 2
OR 1 2
SET 2 623
XOR 2 1
FLIP 2 583
FLIP 2 27
FLIP 1 195
FLIP 2 770
OR 2 1
OR 1 2
OR 2 1
FLIP 1 946
OR 1 2
SET 1 813
SET 1 892
OR 2 1
FLIP 2 565
SET 2 245
FLIP 1 98
OR 1 2
XOR 2 1
AND 1 2
OR 2 1
SET 2 647
XOR 1 2
AND 2 1
AND 2 1
OR 2 1
AND 1 2
FLIP 1 106
SET 2 509
XOR 1 2
OR 1 2
SET 1 549
XOR 2 1
SET 2 486
AND 1 2
AND 1 2
SET 2 250
SET 1 244
AND 1 2
AND 2 1
SET 1 548
OR 2 1
AND 2 1
OR 1 2
SET 2 7
FLIP 1 861
XOR 2 1
SET 1 414
XOR 1 2
OR 1 2
OR 2 1
SET 2 92
XOR 1 2
AND 2 1
AND 1 2
AND 1 2
SET 1 75
AND 1 2
AND 2 1
SET 1 234
OR 1 2
OR 1 2
SET 2 480
OR 2 1
XOR 2 1
OR 2 1
XOR 2 1
SET 2 462
AND 2 1
XOR 2 1
OR 2 1
AND 2 1
FLIP 1 376
AND 1 2
AND 2 1
AND 2 1
OR 1 2
OR 2 1
FLIP 2 472
XOR 2 1
AND 1 2
AND 2 1
OR 2 1
XOR 2 1
AND 1 2
FLIP 1 857
AND 1 2
FLIP 1 107
SET 2 345
AND 2 1
FLIP 1 558
AND 2 1
FLIP 2 182
XOR 2 1
AND 1 2
AND 1 2
FLIP 1 391
FLIP 2 137
OR 2 1
AND 1 2
OR 2 1
OR 1 2
AND 2 1
OR 2 1
OR 1 2
SET 2 567
XOR 1 2
FLIP 2 216
AND 1 2
XOR 1 2
AND 1 2
XOR 2 1
FLIP 2 129
AND 1 2
XOR 1 2
AND 2 1
XOR 2 1
AND 2 1
OR 1 2
SET 2 803
XOR 1 2
AND 2 1
OR 2 1
XOR 2 1
FLIP 1 884
SET 2 894
FLIP 1 759
XOR 2 1
AND 2 1
AND 2 1
SET 2 561
OR 2 1
FLIP 2 901
FLIP 1 127
SET 2 98
SET 1 391
FLIP 1 579
XOR 2 1
OR 1 2
XOR 2 1
FLIP 1 468
AND 1 2
XOR 2 1
XOR 2 1
OR 2 1
SET 1 249
AND 2 1
SET 1 767
SET 2 234
XOR 1 2
XOR 2 1
AND 1 2
XOR 2 1
FLIP 1 752
OR 2 1
FLIP 1 463
FLIP 2 814
SET 2 576
FLIP 2 340
XOR 1 2
SET 2 395
SET 2 129
OR 2 1
SET 1 127
FLIP 2 317
SET 2 536
OR 1 2
XOR 2 1
SET 1 308
XOR 2 1
SET 2 433
SET 2 605
XOR 2 1
SET 1 60
SET 2 758
XOR 2 1
AND 1 2
FLIP 1 899
FLIP 2 33
OR 1 2
XOR 1 2
AND 1 2
FLIP 2 481
OR 2 1
SET 2 57
FLIP 2 737
OR 1 2
XOR 2 1
FLIP 1 365
FLIP 1 890
OR 2 1
FLIP 1 280
AND 2 1
OR 1 2
FLIP 1 522
XOR 1 2
OR 2 1
FLIP 2 100
AND 2 1
OR 1 2
FLIP 1 631
OR 1 2
SET 1 48
SET 2 804
AND 1 2
OR 2 1
XOR 2 1
AND 2 1
AND 2 1
SET 2 420
XOR 2 1
SET 2 875
XOR 2 1
FLIP 1 30
FLIP 2 594
SET 1 656
AND 2 1
OR 2 1
SET 1 161
AND 1 2
XOR 2 1
AND 2 1
FLIP 1 522
XOR 2 1
SET 1 477
FLIP 1 91
AND 1 2
XOR 2 1
AND 2 1
XOR 2 1
SET 1 524
SET 1 919
FLIP 2 885
OR 1 2
OR 2 1
SET 2 634
FLIP 2 45
XOR 2 1
OR 2 1
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
FLIP 1 374
AND 2 1
OR 1 2
SET 2 553
SET 2 582
AND 2 1
FLIP 2 10
XOR 1 2
FLIP 2 305
AND 2 1
SET 1 659
OR 2 1
